BUSINESSNAME,ISSDTTM,EXPDTTM,LICCAT,CAPACITY,STNO,Address,Location,Lat,Long,geometry,neighborhood
"SPEAK EASY CONCEPTS, LLC",11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,520,25,  Boylston PL,"(42.351899, -71.065829)",42.31624823260227,-71.10262693843245,POINT (-71.10262693843245 42.31624823260227),Jamaica Plain
"FROST GROUP, LLC",11/20/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,240,200,  State ST,"(42.36003, -71.05319)",42.359488,-71.053154,POINT (-71.05315400000001 42.359488),Downtown
"EMANUEL ENTERPRISES, LLC",10/01/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,49,71, Meridian St,"(42.37195, -71.0388)",42.37196255,-71.03880522704439,POINT (-71.03880522704439 42.37196255),East Boston
"ZAZ RESTAURANT & CATERING, CORP.",05/19/2015 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc Restr,19,1238, River St,"(0.0, 0.0)",42.25589585321328,-71.12265904761315,POINT (-71.12265904761315 42.25589585321328),Hyde Park
HOMESTEAD BAKERY & CAFE LLC,03/02/2016 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc Restr,31,1448, Dorchester Av,"(0.0, 0.0)",42.3011294,-71.059742,POINT (-71.059742 42.3011294),Dorchester
"SUYA JOINT, LLC",09/18/2015 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc Restr,84,185,  Dudley ST,"(42.32832, -71.08196)",42.3284645,-71.0821485,POINT (-71.0821485 42.3284645),Roxbury
,10/07/2015 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,263,0,  Thompson Island  ,"(0.0, 0.0)",42.3153762,-71.0083825,POINT (-71.0083825 42.3153762),Harbor Islands
"GOURMET CHINA, INC.",11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Malt Wine,48,23, Tyler St,"(42.350769, -71.060935)",42.24623370000001,-71.12499364722144,POINT (-71.12499364722144 42.24623370000001),Hyde Park
THE TWELVE BENS,11/29/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,285,315,  Adams ST,"(42.298605, -71.057578)",42.298611,-71.057467,POINT (-71.057467 42.298611),Dorchester
THE BOSTON LECO CORP.,11/22/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,746,71,  Warrenton ST,"(0.0, 0.0)",42.34958434264061,-71.06633684682883,POINT (-71.06633684682883 42.34958434264061),Downtown
"HLC GROUP ENTERPRISES, LLC",11/15/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,148,131, Dartmouth St,"(42.34682, -71.07543)",42.3467104,-71.0753958,POINT (-71.0753958 42.3467104),South End
"COPPERSMITH HALL, LLC",11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,360,40,W Third St,"(0.0, 0.0)",42.373193824433706,-71.05621956764712,POINT (-71.05621956764712 42.37319382443371),Charlestown
"THE NEXT PLACE, LLC",11/29/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,440,262,  Friend ST,"(42.36457, -71.06144)",42.36465214285714,-71.06137916326531,POINT (-71.06137916326531 42.36465214285714),West End
"MASSACHUSETTS SPORTSERVICE, INC.",11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,19058,100,  Legends WY,"(42.36629, -71.0622)",42.36628985,-71.06222575726521,POINT (-71.06222575726521 42.36628985),West End
"BARRY'S CORNER PROPERTY, LLC",12/02/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,0,219, Western Av,"(42.364022, -71.130413)",42.3632943,-71.1306946,POINT (-71.1306946 42.3632943),Allston
"SIP WINE BAR AND KITCHEN, INC.",11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,163,571,  Washington ST,"(42.353531, -71.062736)",42.350293900000004,-71.16487224571489,POINT (-71.16487224571489 42.3502939),Brighton
"Twleve22, LLC.",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,181,1222,  Washington ST,"(42.342794, -71.066726)",42.2620157,-71.15640570000001,POINT (-71.15640570000001 42.2620157),West Roxbury
"VAN'S RESTAURANT & BAR, INC.",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,75,1154, Dorchester Av,"(42.307719, -71.05859)",42.311563925399426,-71.05741560178039,POINT (-71.05741560178039 42.31156392539943),Dorchester
"RING ROAD RESTAURANT GROUP, LLC",11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,0,780,  Boylston ST,"(42.348135, -71.080855)",42.34905515000001,-71.08159945,POINT (-71.08159945 42.34905515000001),Back Bay
"SEAPORT HOSPITALITY, INC.",12/01/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,300,425,  Summer ST,"(42.346219, -71.043099)",42.3461583,-71.04330470000001,POINT (-71.04330470000001 42.3461583),South Boston Waterfront
"SPORTS CONNECTION BAR & GRILL, INC.",11/21/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,99,560,  Dorchester AV,"(42.330488, -71.05673)",42.33055444444445,-71.05684922222223,POINT (-71.05684922222223 42.33055444444445),South Boston
"425 BROADWAY, LLC",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,360,425,W Broadway ,"(0.0, 0.0)",42.3364129,-71.0474604,POINT (-71.04746040000001 42.3364129),South Boston
STANJACK CORPORATION,12/17/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,59,645,E Second ST,"(42.33718, -71.03733)",42.337201,-71.037309,POINT (-71.03730899999999 42.337201),South Boston
"BOMBOLOTTI, INC.",11/22/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,368,250, Hanover St,"(0.0, 0.0)",42.36355075,-71.054885,POINT (-71.054885 42.36355075),North End
"METRO DINING, INC.",12/02/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,175,32,  Harvard AV,"(42.354873, -71.132348)",42.3004374,-71.07598785344345,POINT (-71.07598785344345 42.3004374),Dorchester
"BACK BAY BEATS, LLC",11/22/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,0,160,  Massachusetts AV,"(0.0, 0.0)",42.34604829999999,-71.0868774,POINT (-71.08687740000001 42.34604829999999),Back Bay
"K.M.F. HOSPITALITY, INC.",11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,460,156,  Milk ST,"(0.0, 0.0)",42.358589,-71.053115,POINT (-71.05311500000001 42.358589),Downtown
THE GROMIT GROUP LLC,11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,330,69,  Kilmarnock ST,"(42.34258, -71.09953)",42.3424717,-71.0994794,POINT (-71.09947940000001 42.3424717),Fenway
"GALLEON VENTURES,  INC.",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,99,134,  Smith ST,"(42.33471, -71.10204)",42.33474969387756,-71.10217687755103,POINT (-71.10217687755103 42.33474969387756),Mission Hill
STADIUM RESTAURANT LLC,11/29/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,509,232, Old Colony Av,"(42.33218, -71.05325)",42.331877950212494,-71.05349889457824,POINT (-71.05349889457824 42.33187795021249),South Boston
"SAVIN RESTAURANT, LLC",11/06/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,144,112, Savin Hill Av,"(0.0, 0.0)",42.3116974,-71.05339366285587,POINT (-71.05339366285587 42.3116974),Dorchester
MASSACHUSETTS CONVENTION CENTER AUTHORITY,11/26/2013 12:00:00 AM,12/31/2015 12:00:00 AM,All Alc,25295,900,  Boylston ST,"(0.0, 0.0)",42.3471376,-71.08399283816692,POINT (-71.08399283816692 42.3471376),Back Bay
"RESTAURANTE CESARIA, INC.",11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,99,266, Bowdoin St,"(42.30692, -71.06667)",42.306915999999994,-71.06641185714284,POINT (-71.06641185714284 42.30691599999999),Dorchester
