,neighborhood,LAND_SF,YR_BUILT,YR_REMOD,AV_LAND,AV_BLDG,AV_TOTAL,GROSS_TAX,LAND_SF,GROSS_AREA,LIVING_AREA,U_INT_CND,AC_final,HEAT_TYP,Tax_Exempt,PPSQFT
0,Beacon Hill,1377.6,1884.9,2001.4,0.0,1492650.0,1492650.0,1573253.1,1377.6,1012.6,1012.6,1.4,0.4,6.3,0.0,1211.1574242787092
0,Beacon Hill,1511.2,1903.8,1987.111111111111,137340.0,1083380.0,1220720.0,1286639.0,1511.2,1563.2,1382.8,1.8,0.5,5.6,0.0,1075.1350237729175
0,Beacon Hill,2095.5,1732.8,2002.5,236220.0,1429626.4,1665846.4,1558651.3,2095.5,2019.7,1690.9,1.5,1.2,2.2,0.2,inf
0,Beacon Hill,726.7,1940.0,1982.9,0.0,757160.0,757160.0,798046.7,726.7,726.7,726.7,1.3,0.0,7.0,0.0,1060.8795353569292
0,Beacon Hill,802.2222222222222,1940.0,1980.5555555555557,0.0,778950.0,778950.0,821013.3,802.2222222222222,802.2222222222222,802.2222222222222,1.0,0.2,6.3,0.0,1056.0782944401133
0,Beacon Hill,1263.2,1924.5,2003.0,317730.0,925100.0,1242830.0,1309943.0,1263.2,2754.8,2243.9,1.1,1.4,3.7,0.0,724.5504238808674
0,Beacon Hill,1103.2,1899.8,1998.5,357640.0,1111450.0,1469090.0,1548420.9,1103.2,2333.1,1926.9,0.8,1.1,3.8,0.0,706.1841233752455
0,Beacon Hill,992.9,1896.8,1980.2,85130.0,705860.0,790990.0,833703.6,992.9,1101.2,1017.6,2.6,0.4,5.6,0.0,817.8979810696543
0,Beacon Hill,3843.2,1919.9,1988.4444444444443,0.0,845080.0,845080.0,890714.5,3843.2,1023.2,1023.2,3.3,0.6,1.9,0.0,846.0085894602344
0,Beacon Hill,1270.9,1866.9,1595.5,326910.0,1243568.5,1570478.5,1655284.5,1270.9,2660.7,2173.7,2.0,0.9,4.6,0.0,669.2596384913218
0,Beacon Hill,2989.5,1340.8,1993.142857142857,200870.0,697150.0,898020.0,1468798.2,2989.5,1970.2,1552.4,1.0,1.7,2.1,0.0,inf
