,Serial Number,County,License Type Code,License Class Code,Certificate Number,Premise Name,DBA,Premise Address,Premise Address 2,Premise City,Premise State,Premise Zip,License Issued Date,License Expiration Date,Method of Operation,Days/Hours of Operation,Other,Georeference,Lat,Long
6,1260458,NEW YORK,OP,252,894046,THEATRE REFRESHMENT CO OF NY INC & SUNLIGHT ,"MANAGEMENT CORP, DBA: CORT THEATRE",138 W 48TH ST,,NEW YORK,NY,10036,08/08/2018,08/31/2020,"BAR/TAVERN SERVING LIQUOR, WINE, BEER, & CIDER",,"Live Music, No Dancing,",,40.75910345,-73.98308983674377
33,2192818,NEW YORK,SL,540,916552,CLASSIC HARBOR LINE,KINGSTON ,W 23RD ST,"HUDSON RIVER, CHELSEA PIERS",NEW YORK,NY,10011,03/19/2020,10/31/2020,VESSEL SERVING LIQUOR BEER CIDER AND WINE,,,,40.7457738,-73.9996226
51,1247762,NEW YORK,L,222,895792,FLATIRON WINES INC,,929 BROADWAY,,NEW YORK,NY,10010,12/08/2017,12/31/2020,LIQUOR STORE SELLING LIQUOR AND WINE,,,,40.7402583,-73.9896881
53,1266405,NEW YORK,OP,252,900030,SAIGON SHACK CORP,THE BOIL ,139 CHRYSTIE ST,,NEW YORK,NY,10002,12/07/2018,12/31/2020,RESTAURANT SERVING BEER WINE & LIQUOR CIDER,4:00PM to 2:00 AM 7 Days/Week,,,40.719721,-73.9933155
70,1299095,NEW YORK,HL,242,900860,CYH MANHATTAN LLC & HIGHGATE HOTELS LP AS MANAGER,STEWART HOTEL,371 7TH AVE,,NEW YORK,NY,10001,01/15/2019,01/31/2021,HOTEL SERVING LIQUOR WINE BEER AND CIDER,,,,40.7488997,-73.9919013
73,1024286,NEW YORK,OP,252,903527,LONGFORD INC,BAR NONE,98 3RD AVE,,NEW YORK,NY,10003,03/14/2019,02/28/2021,"TAVERN SERVING LIQUOR, WINE, AND BEER CIDER",,,,40.68326705,-73.98233634011888
74,1028559,NEW YORK,RL,241,901964,LA GRENOUILLE INC,,3 E 52ND STREET,,NEW YORK,NY,10022,02/14/2019,02/28/2021,RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,,,,40.7597211,-73.97554250693395
78,1110357,NEW YORK,OP,252,902199,TWO BIG BOYS INC,POSH,405 WEST 51ST STREET,,NEW YORK,NY,10019,02/20/2019,02/28/2021,"TAVERN SERVING BEER, WINE, LIQUOR, & CIDER",,,,40.7643912,-73.9888626
81,1262397,NEW YORK,L,222,896732,88TH BROADWAY INC,,2447 BROADWAY,,NEW YORK,NY,10024,02/09/2018,02/28/2021,LIQUOR STORE SELLING LIQUOR AND WINE,,,,40.7911261,-73.9747165
86,1310573,NEW YORK,RW,341,830748,SK 1448 INC,NAMASTE,1448 1ST AVE,NORTH SIDE OF BUILDING,NEW YORK,NY,10021,03/15/2019,02/28/2021,"RESTAURANT SERVING WINE, BEER, AND CIDER","CB Stips: no bar crawls, bicycle guidelines, no electric bikes",,,40.7698795,-73.9541277
